CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
CUST000001,0,11.1,Tablet,Tier 2,30.3,E-wallet,Female,0.9,1,Grocery,2,Single,10,0,24.5,12,9,7.8,237.19
CUST000002,1,32.5,Tablet,Tier 1,92.0,Debit Card,Female,2.0,2,Fashion,2,Single,12,1,15.9,0,12,23.5,161.73
CUST000003,1,52.4,Tablet,Tier 1,52.2,UPI,Female,4.7,1,Others,4,Divorced,8,0,25.3,15,8,19.2,257.18
CUST000004,0,43.9,Computer,Tier 3,85.8,E-wallet,Male,2.0,5,Mobile Phone,2,Married,19,0,11.4,13,3,10.1,134.39
CUST000005,0,48.4,Computer,Tier 3,47.3,Credit Card,Male,0.6,1,Mobile Phone,2,Divorced,15,0,16.7,3,1,33.2,124.31
CUST000006,0,39.5,Computer,Tier 1,52.7,Cash on Delivery,Female,2.6,2,Laptop & Accessory,5,Divorced,1,1,24.4,11,4,29.0,220.35
CUST000007,0,41.5,Tablet,Tier 1,24.4,E-wallet,Female,0.5,4,Laptop & Accessory,1,Single,3,0,15.1,11,8,4.6,224.99
CUST000008,1,51.0,Computer,Tier 1,36.5,Cash on Delivery,Female,1.0,2,Grocery,3,Divorced,18,0,15.1,16,3,42.6,124.0
CUST000009,0,15.0,Mobile Phone,Tier 2,78.9,Credit Card,Male,5.0,6,Grocery,1,Married,18,0,15.5,14,10,25.7,316.94
CUST000010,1,29.4,Mobile Phone,Tier 2,57.8,UPI,Male,2.7,3,Others,4,Single,2,0,20.2,9,12,11.5,228.99
CUST000011,0,13.3,Computer,Tier 2,99.5,UPI,Male,1.4,3,Laptop & Accessory,1,Divorced,5,1,17.6,2,2,9.5,133.98
CUST000012,1,59.3,Mobile Phone,Tier 1,109.0,Credit Card,Female,5.0,6,Laptop & Accessory,2,Divorced,1,1,21.9,11,7,6.3,170.07
CUST000013,1,56.6,Mobile Phone,Tier 3,71.1,Cash on Delivery,Female,4.8,3,Grocery,4,Married,10,0,24.4,0,4,19.5,280.05
CUST000014,0,2.4,Tablet,Tier 1,97.5,E-wallet,Female,2.2,3,Grocery,1,Divorced,20,0,21.1,0,6,6.2,217.73
CUST000015,0,42.3,Computer,Tier 2,42.4,Credit Card,Female,1.3,5,Grocery,4,Divorced,10,0,14.1,9,5,19.1,142.33
CUST000016,0,55.5,Computer,Tier 2,55.6,Debit Card,Female,4.2,4,Mobile Phone,3,Divorced,5,0,25.0,14,2,6.8,123.14
CUST000017,0,10.8,Tablet,Tier 1,92.0,Cash on Delivery,Male,3.6,4,Fashion,1,Divorced,18,0,15.0,1,10,30.2,196.92
CUST000018,0,34.1,Mobile Phone,Tier 1,52.1,UPI,Female,3.4,2,Fashion,2,Married,21,0,13.2,16,2,36.1,175.92
CUST000019,0,54.9,Mobile Phone,Tier 2,76.8,Credit Card,Female,4.5,6,Laptop & Accessory,4,Divorced,15,0,12.3,7,14,25.3,247.58
CUST000020,0,2.0,Computer,Tier 2,27.6,UPI,Female,3.4,1,Mobile Phone,5,Divorced,20,1,19.5,8,9,31.3,308.18
